课程号,课程名,课序号,学时,学分,老师
VENG431001,汽车结构有限元与数值计算,01,24,1,臧顺来
VENG510201,车辆设计,01,40,2,"林起崟,韩宾"
VENG510301,现代轨道车辆,01,40,2,李靖祥
VENG530401,车辆电机与驱动,01,40,2,"李靖祥,范淑琴"
VENG530501,智能汽车技术,01,32,2,"陈景龙,刘意"
VENG900201,车辆工程CDIO,01,56,2,徐俊
CORE100102,3D打印.材料之光,01,32,2,"孙琨,鲍崇高"
GNED100202,动漫世界的材料化学探秘,01,32,2,宁晓辉
GNED100302,多学科交叉创新与自主创业实践,01,32,2,"田高良,张生,宋忠孝"
GNED100802,艺术铸造及创作实践,01,32,2,"刘志伟,赵兴杨,崔琦,郑巧玲"
MATL200102,工程材料基础,01,56,3,王继平
MATL200102,工程材料基础,02,56,3,刘梅军
MATL200102,工程材料基础,03,56,3,李博
MATL200102,工程材料基础,04,56,3,张鹏
MATL200102,工程材料基础,05,56,3,"刘森辉,牛敏"
MATL200102,工程材料基础,06,56,3,"王亚强,程鹏明"
MATL400602,材料性能,01,48,3,"单智伟,解德刚,周玉美"
MATL400602,材料性能,02,48,3,"吴戈,刘博宇,李成新"
MATL400602,材料性能,03,48,3,"王悦存,方华靖,吴戈"
MATL400702,Characterization techniques in materials science research,01,32,2,陈凯
MATL400702,Characterization techniques in materials science research,02,32,2,武海军
MATL400702,Characterization techniques in materials science research,03,32,2,方华靖
MATL400702,Characterization techniques in materials science research,04,32,2,薛嗣创
MATL400702,Characterization techniques in materials science research,05,32,2,王疆靖
MATL400702,Characterization techniques in materials science research,06,32,2,张祯
MATL400902,材料工程基础,01,64,4,"王玉,杨贺杰,张林杰"
MATL400902,材料工程基础,02,64,4,"李梅娥,张林杰,刘志伟"
MATL401202,金相制备与分析实验,01,32,1,"王红洁,孙巧艳,孙俊杰,王耿洁"
MATL401302,材料性能与测试技术实验,01,32,1,"牛靖,陈凯"
MATL401402,高分子化学与物理实验,01,32,1,张启路
MATL401902,材料科学基础-1,01,32,2,殷咸青
MATL401902,材料科学基础-1,02,32,2,蔡洪能
MATL401902,材料科学基础-1,03,32,2,黄平
MATL401902,材料科学基础-1,04,32,2,刘宏
MATL401902,材料科学基础-1,05,32,2,刘梅军
MATL401902,材料科学基础-1,06,32,2,陈波
MATL401902,材料科学基础-1,07,32,2,"杨冠军,刘梅军"
MATL402402,材料工程基础,01,40,2.5,"刘志伟,李梅娥"
MATL402602,材料研究方法,01,32,2,胡磊
MATL402802,功能材料学,01,32,2,"潘毅,郭靖"
MATL403102,材料科学基础,01,40,2.5,"张兰,王章洁"
MATL403102,材料科学基础,02,40,2.5,"马胜强,雒晓涛"
CORE100103,能源与人类文明发展,01,32,2,"杨冬,徐东海"
CORE100103,能源与人类文明发展,02,32,2,"李艳辉,徐东海"
CORE100203,再创式学习方法与技术创新训练,01,32,2,"薛绒,杨旭,吴伟烽"
CORE100303,科学技术与工程伦理,01,32,2,"李早阳,孙中国"
CORE100303,科学技术与工程伦理,02,32,2,"冯健美,姚尔人,陈雪江"
CORE100303,科学技术与工程伦理,03,32,2,"党政,张家忠"
CORE100503,核与世界,01,32,2,"王永平,曹良志,王立剑,刘宙宇"
CORE100703,全球科技史纲,01,32,2,"白涛,赵日晶"
CORE100803,Energy and Environment,01,32,2,褚雯霄
CORE101600,人与环境,01,32,2,"徐浩,李珊珊,王嘉楠,冯江涛,延卫"
ENPO200203,热工基础Ⅰ,01,44,2.5,"何茂刚,辛楠"
ENPO200203,热工基础Ⅰ,02,44,2.5,"王晓坡,吴一宁"
ENPO200203,热工基础Ⅰ,03,44,2.5,"杨富鑫,王学亮"
ENPO200203,热工基础Ⅰ,04,44,2.5,"杨富鑫,任秦龙"
ENPO200203,热工基础Ⅰ,06,44,2.5,"杨鹏,任秦龙"
ENPO200203,热工基础Ⅰ,07,44,2.5,杨卫卫
ENPO200203,热工基础Ⅰ,08,44,2.5,"冀文涛,杨剑"
ENPO200203,热工基础Ⅰ,09,44,2.5,"杨鹏,王学亮"
ENPO200303,大学计算机 -工程算法编程,01,56,3,"陈斌,周致富"
ENPO200303,大学计算机 -工程算法编程,02,56,3,"周屈兰,李娜"
ENPO200303,大学计算机 -工程算法编程,03,56,3,"何志龙,王闯"
ENPO200303,大学计算机 -工程算法编程,04,56,3,"何志龙,赵红利"
ENPO200303,大学计算机 -工程算法编程,05,56,3,刘小民
ENPO200303,大学计算机 -工程算法编程,06,56,3,黄柱
ENPO200303,大学计算机 -工程算法编程,07,56,3,"李娜,王登辉"
ENPO340803,工程热力学（英）,01,64,3.5,"辛楠,杜燊,杨富鑫"
ENPO341003,自动控制原理Ⅰ,01,52,2.5,"赵攀,王桂芳"
ENPO341003,自动控制原理Ⅰ,02,52,2.5,"戴义平,朱光宇,王桂芳"
ENPO341003,自动控制原理Ⅰ,03,52,2.5,"王江峰,李浦,王桂芳"
ENPO341003,自动控制原理Ⅰ,04,52,2.5,"邱斌斌,王桂芳"
ENPO341003,自动控制原理Ⅰ,05,52,2.5,"王珍珍,王朝阳,王桂芳"
ENPO341003,自动控制原理Ⅰ,06,52,2.5,"郭朋华,王桂芳"
ENPO341003,自动控制原理Ⅰ,07,52,2.5,"王桂芳,李瑞雄"
ENPO341003,自动控制原理Ⅰ,08,52,2.5,"周延,张丹,王桂芳"
ENPO341103,流体力学Ⅰ,01,64,3.5,龚建英
ENPO341103,流体力学Ⅰ,02,64,3.5,李国君
ENPO341103,流体力学Ⅰ,03,64,3.5,张荻
ENPO341103,流体力学Ⅰ,04,64,3.5,李平
ENPO341103,流体力学Ⅰ,05,64,3.5,孟现阳
ENPO341103,流体力学Ⅰ,06,64,3.5,付雷
ENPO341203,工程热力学Ⅰ,01,64,3.5,"何雅玲,何茂刚"
ENPO341203,工程热力学Ⅰ,02,64,3.5,"何茂刚,何雅玲"
ENPO341203,工程热力学Ⅰ,03,64,3.5,吴江涛
ENPO341203,工程热力学Ⅰ,04,64,3.5,"刘迎文,张颖,陈慧"
ENPO341203,工程热力学Ⅰ,05,64,3.5,毕胜山
ENPO341203,工程热力学Ⅰ,06,64,3.5,陶于兵
ENPO341203,工程热力学Ⅰ,07,64,3.5,王晓坡
ENPO341203,工程热力学Ⅰ,08,64,3.5,杨卫卫
ENPO341203,工程热力学Ⅰ,09,64,3.5,"刘迎文,张颖"
ENPO341303,热能与动力测试技术,01,52,2.5,"邓清华,王珍珍,徐彤彤,王桂芳,刘齐寿"
ENPO341303,热能与动力测试技术,02,52,2.5,"李会雄,周延,雷贤良,王桂芳,徐彤彤,刘齐寿"
ENPO341303,热能与动力测试技术,03,52,2.5,"厉彦忠,谢福寿,谭宏博,王桂芳,徐彤彤,刘齐寿"
ENPO341303,热能与动力测试技术,04,52,2.5,"文键,李翠,王桂芳,徐彤彤,郭蓓,刘齐寿"
ENPO341303,热能与动力测试技术,05,52,2.5,"宫武旗,高忠权,王桂芳,徐彤彤,刘齐寿"
ENPO341403,流体力学（英）,01,64,3.5,孙金菊
ENPO341503,热流体课程实验-1,01,32,1,"唐上朝,张可,王小丹,孟婧,程上方,邢张梦,梁雪琪"
ENPO341903,现代电力生产技术,01,56,3,"刘继平,赵全斌,邱斌斌,韩小渠,王桂芳,赵永亮,徐彤彤"
ENPO342003,储能原理与应用,01,48,3,"刘朝晖,杨冬,李明涛"
ENPO342103,先进制冷低温技术,01,56,3,"赖天伟,刘秀芳,张兴群,刘晔,侯予,陈良"
ENPO342103,先进制冷低温技术,02,56,3,"侯予,陈良,赖天伟,刘秀芳,张兴群,刘晔"
ENPO413103,流体热物性测试技术,01,56,3,"吴江涛,毕胜山,孟现阳,张可"
ENPO413203,换热器设计,01,48,3,"曾敏,程志龙"
ENPO413303,透平机械流体动力学,01,48,3,何坤
ENPO420603,制冷与低温技术原理,01,52,3,"鱼剑琳,白涛,李翠,张兴群,刘晔,厉彦忠,陈旗"
ENPO420603,制冷与低温技术原理,02,52,3,"赵日晶,黄东,文键,谢福寿,刘晔,张兴群,李科"
ENPO420603,制冷与低温技术原理,03,52,3,"晏刚,白涛,蒲亮,马原,刘晔,张兴群,刘国强"
ENPO420603,制冷与低温技术原理,04,52,3,"陈蕴光,谭宏博,谢福寿,刘晔,张兴群"
ENPO420603,制冷与低温技术原理,05,52,3,"赵日晶,钱苏昕,王磊,李翠,张兴群,刘晔,陈旗"
ENPO420703,流体机械原理,01,56,3,"王志恒,张楚华,林梅"
ENPO420703,流体机械原理,02,56,3,"琚亚平,林梅,李景银"
ENPO420703,流体机械原理,03,56,3,"秦国良,李景银,张楚华,林梅"
ENPO420803,热力发电厂,01,58,3,"种道彤,刘明,王朝阳,王桂芳,徐彤彤"
ENPO420803,热力发电厂,02,58,3,"吴东垠,韩小渠,王桂芳,徐彤彤"
ENPO420803,热力发电厂,03,58,3,"刘继平,陈伟雄,王桂芳,徐彤彤"
ENPO420803,热力发电厂,04,58,3,"赵全斌,王桂芳,王进仕,徐彤彤"
ENPO420903,压缩机原理与结构,01,52,3,"曹锋,杨旭,王雷雷,张薇,王澈"
ENPO420903,压缩机原理与结构,02,52,3,"彭学院,郭蓓,宋昱龙,王雷雷"
ENPO420903,压缩机原理与结构,03,52,3,"冯健美,吴华根,殷翔,王雷雷"
ENPO420903,压缩机原理与结构,04,52,3,"贾晓晗,何志龙,薛绒,王雷雷,李丹童"
ENPO420903,压缩机原理与结构,05,52,3,"吴伟烽,邢子文,郭怡,王雷雷"
ENPO421003,发动机原理与构造,01,60,3,"胡二江,黄勇成,汤成龙"
ENPO421003,发动机原理与构造,02,60,3,"王金华,刘圣华,魏衍举,李倩倩,黄佐华,杨锐"
ENPO421103,锅炉原理,01,56,3,"车得福,邓磊,张润霞"
ENPO421103,锅炉原理,02,56,3,"刘银河,牛艳青,张润霞"
ENPO421103,锅炉原理,03,56,3,"王长安,车得福,张润霞"
ENPO421103,锅炉原理,04,56,3,"牛艳青,王长安,张润霞"
ENPO421103,锅炉原理,05,56,3,"邓磊,刘银河,张润霞"
ENPO421203,汽轮机原理,01,56,3,"邓清华,刘钊,颜晓江"
ENPO421203,汽轮机原理,02,56,3,"宋立明,郭振东,颜晓江"
ENPO421203,汽轮机原理,03,56,3,"晏鑫,李亮,刘观伟"
ENPO421203,汽轮机原理,04,56,3,"李军,李志刚,刘观伟"
ENPO421303,汽车理论及构造,01,48,3,"汪映,王锡斌,黄勇成"
ENPO421303,汽车理论及构造,02,48,3,"魏衍举,王锡斌,黄勇成"
ENPO421403,新能源汽车动力与控制,01,52,3,"姜雪,杨博,刘兵"
ENPO421403,新能源汽车动力与控制,02,52,3,"姜雪,杨博,刘兵"
ENPO421503,储能热流基础实验,01,16,0.5,"孟婧,邢张梦"
ENPO421603,储能热流基础,01,64,4,"何雅玲,席奂,李冬"
ENPO421703,传热传质学,01,56,3,"方文振,陈黎"
ENPO421803,热质储能技术及应用实验,01,16,0.5,"孟婧,邢张梦"
ENPO421903,热质储能技术及应用,01,40,2.5,"陶于兵,程泽东"
ENPO422803,传热传质学（未来）,01,48,2.5,"方文振,陈磊,何璞"
ENPO422903,热质储能技术及应用（未来）,01,40,2.5,"陶于兵,程泽东"
ENPO529303,能源科学技术前沿讲座,01,16,1,"严俊杰,苏光辉,席光,何雅玲,黄佐华,邢子文,厉彦忠,陶文铨"
EVNG400103,大气污染控制工程,01,64,4,"何炽,高宁博"
EVNG400303,水污染控制工程,01,64,4,"王云海,杨树成"
EVNG400503,固体废物处理与处置,01,48,3,"高宁博,全翠"
EVNG400703,环境影响评价,01,32,2,刘萍萍
EVNG401203,专业综合实验,01,64,2,张瑜
EVNG401303,污染控制实验,01,64,2,"张瑜,张润霞,张锦萍"
EVNG401403,环境规划与管理Ⅰ,01,32,2,孙健
EVNG401503,环境化学Ⅱ,01,32,2,"延卫,徐浩"
GNED105203,中华灯谜艺术及欣赏,01,32,2,"王美玲,陈雪江"
GNED105203,中华灯谜艺术及欣赏,02,32,2,"陈雪江,王美玲"
GNED106103,汽车构造,01,32,2,汪映
GNED106203,星际航行与低温技术,01,32,2,"马原,谢福寿,王磊"
GNED106403,制冷技术概论：从地面到空间,01,32,2,"薛绒,张泽,陈汝刚,刘秀芳"
GNED106503,能源绿色转化与碳减排,01,32,2,"王利民,杜勇博,刘虎"
GNED106503,能源绿色转化与碳减排,02,32,2,"杜勇博,邓磊,刘虎,王长安"
GNED106603,新能源汽车与无人驾驶革命,02,32,2,蔡骁
GNED106703,学科交叉研究：流体遇上纳米材料,01,32,2,"赵昆鹏,李星,孙成珍"
GNED106903,走向富足：通过科技改变人类未来,01,16,1,"周致富,李东"
GNED106903,走向富足：通过科技改变人类未来,02,16,1,"周致富,李东"
GNED107003,汽车文化与社会发展,01,32,2,李倩倩
GNED107003,汽车文化与社会发展,02,32,2,李倩倩
GNED107103,《唐宋词鉴赏辞典》经典阅读,02,16,1,屠珊
GNED107703,项目管理理论与实践,01,32,2,郭怡
GNED107703,项目管理理论与实践,02,32,2,郭怡
GNED107803,通向绝对零度之路——制冷与低温科技史话,01,32,2,陈蕴光
GNED107903,能源工程经济学,03,32,2,"刘朝晖,雷贤良"
GNED108003,摄影艺术与实践,01,32,2,"李一鸣,陈雪江"
GNED108103,书香致远——阅读的艺术,02,16,1,李璐
GNED108203,低碳能源转化技术与工程经济管理,02,32,2,"姚尔人,黄柱,席光"
GNED108303,碳中和：国家战略与职业规划,01,32,2,"王浥尘,沈振兴,孙健"
GNED108303,碳中和：国家战略与职业规划,03,32,2,"沈振兴,王浥尘,孙健"
