S#,C#,GRADE
1032818,SM-68,81.0
1035929,LI-15,72.1
1034674,GT-20,70.2
1036605,ED-70,32.9
1034634,YL-96,52.5
1033441,CL-86,77.6
1034258,TE-50,41.4
1036321,IM-32,37.3
1035662,SM-88,88.5
1034428,AU-24,62.0
1035936,TS-33,70.1
1032141,ED-58,91.1
1032606,LC-60,52.6
1032072,AT-23,67.3
1035257,SM-56,74.0
1032629,RM-35,44.3
1036434,ED-47,94.0
1036788,YS-36,81.9
1036280,TE-58,40.0
1033685,FT-49,40.7
1036292,NG-28,45.6
1033833,NG-55,75.6
1036377,YS-48,34.6
1034192,SJ-25,73.3
1033935,LC-12,77.2
1032764,SM-11,44.1
1034598,SJ-15,77.9
1033014,TS-91,38.3
1034007,RE-01,54.0
1033088,WS-73,93.0
1034593,PN-47,97.9
1032903,TE-92,35.9
1036330,EM-34,95.6
1035430,ED-29,85.3
1034723,SS-71,32.3
1036371,TS-70,99.1
1035692,PN-22,58.9
1036499,YS-29,95.7
1032588,CH-94,63.4
1032574,TH-33,77.4
1035848,FT-12,45.8
1032650,LI-94,40.5
1035252,TR-00,31.7
1035632,NG-05,31.1
1035389,ME-19,83.6
1032408,CH-46,98.6
1033067,SJ-37,55.1
1032130,LC-49,91.8
1032929,SP-55,74.2
1034759,ED-81,70.2
1034920,MA-29,39.4
1034664,CL-65,79.3
1033302,SM-07,94.4
1035155,IM-02,60.2
1033175,PO-48,99.4
1032549,RE-18,52.7
1033621,DE-86,89.2
1035812,ED-75,36.6
1036806,LC-61,72.1
1032275,SJ-08,45.3
1032408,TS-94,69.3
1033237,TO-29,45.2
1035549,ME-10,72.0
1034305,NG-28,86.8
1035292,TO-71,45.5
1033749,CH-62,99.8
1034043,MP-56,65.4
1036128,RM-80,98.3
1034176,EN-76,37.7
1032703,EM-92,51.7
1034699,EM-58,66.3
1036047,ED-88,30.3
1036842,TE-88,68.6
1034994,ME-87,77.0
1033100,GT-34,99.6
1036900,CH-76,57.1
1036970,IC-25,71.0
1035818,SM-44,36.6
1033641,ED-42,55.9
1032220,ED-01,65.6
1034952,LI-88,44.1
1034683,WS-09,38.5
1033132,MP-55,61.0
1036094,NG-64,95.3
1032549,TO-81,61.9
1033347,MP-39,83.3
1034146,TL-92,82.8
1037001,SM-08,34.7
1036733,SM-51,33.3
1036271,NG-18,98.8
1033467,WS-80,33.2
1033694,EC-76,31.1
1033398,FT-12,85.1
1033572,MP-25,63.1
1034570,AN-26,39.3
1036709,ED-07,72.9
1035602,SM-26,38.6
1033247,GT-02,50.3
1032250,TL-23,48.7
1032844,PN-83,41.0
1033804,LI-90,60.6
1032609,YS-00,86.5
1036865,PO-41,79.1
1034016,ED-69,61.5
1035239,SJ-43,47.1
1036824,SP-22,43.8
1034050,CH-53,64.3
1035094,SP-61,98.3
1036957,MP-33,59.4
1036750,SJ-13,85.0
1036829,AN-43,50.6
1036366,TO-62,33.1
1033741,RA-43,91.6
1035559,LS-24,41.7
1034321,PO-26,51.9
1036475,TH-81,72.0
1035649,YS-84,36.4
1033299,CH-75,34.9
1036820,OM-86,73.7
1035148,VL-87,45.1
1036262,LS-04,66.1
1034546,ME-30,35.6
1033203,MP-36,67.8
1034081,MT-10,65.9
1035469,IM-02,78.2
1033379,ED-88,86.3
1032466,GL-19,59.8
1032395,SP-10,77.9
1034222,TH-58,54.8
1035643,IM-37,37.0
1032440,DE-95,40.2
1032907,ED-42,99.2
1033561,CL-14,84.2
1034667,ND-41,35.2
1032887,YS-81,92.3
1035476,EC-75,77.8
1032618,CH-26,30.0
1032917,ED-33,56.0
1035103,AN-88,55.4
1032495,TH-43,84.6
1033049,OM-22,61.4
1032059,CH-53,59.0
1034739,LC-05,51.5
1033554,WS-31,67.4
1035905,CL-89,45.6
1037008,EN-84,75.4
1034180,CL-28,72.8
1035564,GL-41,73.7
1034712,GT-29,92.0
1035808,YL-96,49.4
1032263,DE-59,56.8
1032585,ME-83,87.5
1032454,PO-81,95.9
1036561,MA-76,40.0
1032188,ND-68,56.8
1036831,FT-21,73.0
1034708,YS-43,82.9
1033245,OL-52,55.1
1035699,SM-35,95.9
1035691,PO-29,79.6
1036474,OL-45,83.8
1034877,ED-01,50.6
1035687,SJ-88,93.9
1036914,YS-10,89.7
1032631,IC-28,70.0
1034732,OM-91,73.7
1035903,LC-33,75.7
1036633,TE-41,46.9
1036253,PO-38,33.6
1036058,GT-95,69.5
1033338,MA-77,57.5
1035789,TH-66,43.3
1035655,SM-95,81.0
1036075,MP-58,60.2
1034372,CH-05,96.1
1035826,LI-90,72.2
1035642,SM-61,97.0
1036923,SJ-47,84.5
1036361,OM-92,43.5
1036446,RE-36,64.9
1033185,ED-92,70.0
1032219,EC-07,94.0
1034965,EC-40,72.8
1032866,TL-83,51.2
1035851,SM-57,56.1
1036158,LI-62,77.4
1034376,TS-18,36.1
1034667,WS-06,48.3
1034201,EC-12,82.8
1036115,EM-47,41.3
1035093,IM-75,57.0
1035671,CH-11,59.7
1036423,SJ-08,73.5
1032691,SJ-70,95.8
1035361,EC-92,92.9
1036668,PO-47,59.6
1033571,CL-20,49.1
1036188,TH-42,48.7
1033358,FT-49,66.3
1033967,TE-60,42.1
1032706,CH-23,90.7
1033738,MP-59,32.4
1034459,ED-18,31.1
1032500,NG-05,68.2
1035393,GL-18,42.3
1032158,GL-15,93.6
1032483,LI-18,89.8
1036643,NG-82,96.2
1034801,NA-24,74.1
1034974,MD-76,95.2
1034362,YS-39,75.1
1033560,YS-81,96.0
1034787,GL-41,46.1
1033119,MT-81,41.8
1033114,ED-65,85.3
1034454,GT-21,43.8
1035243,FT-00,39.4
1032600,CH-48,39.1
1032148,TR-00,42.2
1032069,SJ-28,60.2
1032835,FT-25,39.5
1034284,OM-73,38.6
1036296,NG-23,66.9
1034357,EN-85,67.6
1032504,MD-00,40.8
1035743,EC-07,50.4
1035388,OL-51,44.0
1036722,IM-71,76.5
1035561,TH-40,35.6
1032497,TL-31,68.8
1034811,RE-07,51.5
1034468,TO-08,50.6
1033638,NA-47,88.2
1035751,TE-28,77.3
1032725,RA-44,85.2
1032904,CH-37,63.2
1036388,CH-29,58.0
1036898,NA-87,73.8
1033572,WS-31,91.6
1036103,MA-47,99.6
1036002,EM-59,99.8
1033590,SJ-58,79.0
1032145,YS-76,82.5
1032631,EC-51,87.5
1032146,OM-43,48.5
1033339,EC-75,52.7
1033338,CL-32,56.3
1036139,GT-90,58.3
1033466,AT-23,65.6
1035816,CH-06,47.0
1032949,ME-48,90.3
1036529,MT-81,99.5
1032659,TH-33,82.1
1032220,RE-51,91.5
1034190,TE-69,78.9
1032641,LI-85,74.8
1034379,DE-41,62.4
1032307,ES-85,96.9
1035950,ST-22,55.5
1034596,NG-17,39.4
1035851,YS-81,99.9
1035960,TH-13,46.6
1032809,GL-33,46.5
1033876,IM-26,30.8
1032903,ED-16,34.1
1034680,PN-95,57.6
1033613,IM-52,86.4
1035936,ME-65,36.6
1036168,LC-18,40.3
1033860,GT-92,60.1
1036354,ED-73,48.5
1035041,TE-16,32.2
1032105,NG-20,75.2
1032160,ME-75,30.3
1032094,PO-20,81.9
1033473,SJ-03,66.3
1034360,NA-26,100.0
1035872,FT-93,87.1
1034913,TH-48,98.8
1035233,TS-67,96.4
1036445,CH-72,81.8
1034074,ED-73,62.7
1033621,MA-16,80.2
1033719,IM-66,53.3
1033381,TH-14,47.1
1035238,GL-52,70.0
1034016,ED-61,44.4
1032728,EM-62,98.7
1036029,ME-48,77.8
1034248,SM-22,58.8
1036522,CL-15,89.8
1033592,MP-38,54.1
1033320,ED-70,87.4
1033162,RE-30,46.1
1035395,LS-04,97.0
1032363,TE-77,78.6
1035143,CH-14,64.6
1033086,SM-44,68.7
1034109,YS-39,48.4
1033215,PN-35,71.7
1035970,CH-91,37.7
1035629,GT-11,78.1
1032908,TE-65,77.2
1032077,IM-32,87.5
1034828,TH-43,30.4
1036517,EM-79,60.6
1034360,SJ-88,73.1
1033127,LS-11,99.6
1035192,GT-34,61.0
1035508,MA-76,74.9
1033207,GT-26,33.5
1032991,ED-66,99.4
1035721,LI-83,47.9
1032959,TH-01,78.3
1033475,YS-39,40.4
1032593,RM-22,55.2
1033564,EM-45,52.1
1032457,TE-87,70.2
1033571,ED-47,93.4
1034289,LI-82,39.8
1036342,TE-01,51.8
1032714,ME-90,43.8
1035898,YS-55,41.5
1035339,CH-10,32.9
1032215,WS-96,69.1
1036632,IM-30,97.5
1032600,TO-29,33.1
1035640,WS-75,77.6
1032351,ED-62,36.1
1035671,CH-06,53.0
1036990,SP-19,40.6
1032476,RE-20,46.0
1036538,ND-20,93.9
1036861,GL-38,44.0
1033017,RS-32,65.4
1035966,WS-73,100.0
1036908,SM-35,47.0
1033888,TS-70,52.2
1032341,CH-94,73.3
1033733,YS-09,63.0
1032135,MD-13,89.1
1035101,LC-61,99.3
1035613,TH-93,49.4
1036082,YS-75,54.3
1034753,TH-91,72.4
1032579,SJ-32,81.3
1035809,RM-01,96.9
1034889,LI-15,37.7
1034534,ED-56,99.0
1036745,RM-83,53.9
1035199,TH-30,54.8
1033558,TL-89,32.8
1033671,RE-60,37.9
1032074,CH-51,33.4
1036668,TL-83,35.8
1032136,MP-92,100.0
1033289,MA-29,84.6
1034658,GL-20,35.4
1036694,TE-19,85.1
1033631,TH-45,32.6
1032184,MA-39,53.6
1036563,SJ-74,63.9
1034467,OM-37,91.7
1032664,IM-65,79.3
1035537,EM-15,37.2
1033731,NA-19,52.1
1036895,NG-17,82.6
1035569,YS-37,39.8
1034616,MP-01,34.6
1034768,EC-41,62.0
1034335,MA-40,38.4
1034198,IM-37,40.7
1035151,SJ-47,40.8
1035853,TH-93,47.1
1033691,TH-80,53.4
1035984,TE-13,79.2
1036831,FT-08,49.3
1035388,ED-10,45.5
1036507,LI-88,91.5
1034554,TS-06,53.4
1036602,WS-41,91.5
1032323,CH-26,91.5
1035984,EC-34,61.7
1032530,AN-61,87.4
1033349,ME-78,61.1
1033449,SP-88,49.2
1034963,RE-27,40.8
1036388,TO-28,53.6
1035885,EC-12,34.0
1034784,EM-81,67.5
1035910,AU-37,63.0
1035208,MD-92,47.1
1035332,TS-30,80.1
1032375,VL-49,50.9
1032718,TE-23,45.0
1034026,DE-17,84.4
1033189,CH-24,95.9
1033781,ND-80,37.8
1035569,YS-32,77.6
1033419,GL-06,76.2
1033679,ND-89,98.2
1033324,ME-47,54.3
1033712,YS-16,32.7
1034057,LI-06,87.1
1034773,RS-92,33.7
1034025,YS-89,99.8
1032146,LS-80,96.5
1033915,DE-47,36.3
1034013,GL-49,97.9
1035153,TO-11,43.4
1033026,DE-84,70.0
1032748,EM-90,74.4
1032789,MA-45,78.3
1036851,OM-80,50.4
1034261,RE-07,90.6
1032196,MT-05,36.9
1036295,CL-65,36.5
1035129,RE-35,90.1
1036456,NA-38,66.1
1034091,LS-46,78.8
1035124,TH-96,66.1
1033503,EC-42,35.0
1035537,EC-76,53.8
1036623,NG-05,97.1
1033473,NA-29,50.3
1035527,GL-60,33.2
1035613,CH-00,65.4
1034224,MA-13,93.5
1032562,GL-12,78.1
1034624,PO-95,33.1
1036636,IC-30,94.7
1035162,GT-28,32.8
1036659,CH-95,83.7
1033477,RA-37,75.3
1036828,LC-10,38.6
1033328,ME-30,79.2
1034326,SM-19,58.7
1035708,TE-72,58.5
1033353,ME-66,87.9
1033984,TS-70,87.6
1034190,IM-78,85.7
1036068,TE-08,86.8
1034608,IS-93,86.2
1034871,TE-22,51.9
1035944,CH-83,43.6
1035276,CL-28,87.9
1035650,CH-19,90.9
1035883,CL-20,88.5
1034237,FT-11,67.9
1033708,AT-63,99.6
1033886,SM-15,91.8
1032111,PN-86,70.0
1034514,MP-92,32.3
1035018,GL-12,90.7
1035897,PO-81,53.5
1036570,NG-14,72.7
1033802,TE-32,96.4
1032654,MA-47,37.4
1033762,TE-08,55.5
1035153,SM-25,83.7
1036926,CH-33,56.3
1036329,NG-04,78.2
1033509,CH-41,80.6
1033095,RE-12,40.4
1033437,TO-28,36.8
1033167,ED-42,54.2
1033490,RA-44,65.6
1033661,RS-39,42.7
1032830,TS-50,59.0
1034795,NG-66,37.1
1034785,ED-83,35.0
1034161,FT-34,95.0
1033642,SJ-18,58.1
1034159,ED-49,99.2
1035839,ED-17,52.2
1033345,ND-31,71.6
1032884,ME-66,30.6
1033905,SS-28,90.7
1032306,PO-54,83.8
1036787,IM-34,86.8
1036045,PO-20,61.3
1036800,MP-39,96.8
1032354,ND-95,30.1
1036230,CL-38,54.5
1036800,FT-20,54.4
1036595,WS-70,34.1
1033949,RM-01,48.3
1035387,OL-29,46.5
1035380,GT-29,39.6
1032189,SM-73,78.6
1033636,CH-09,50.6
1033610,GT-13,51.2
1033847,RS-14,78.7
1034703,NG-08,59.9
1036111,YS-03,99.0
1033744,SJ-74,60.1
1032301,YS-76,91.5
1036777,ED-04,38.4
1033106,MP-41,84.8
1033985,SJ-03,69.1
1035712,RE-15,32.9
1032849,ED-64,90.8
1032264,LC-89,50.4
1032295,EM-07,50.2
1035603,RE-39,40.2
1036295,FT-93,48.7
1035578,LU-36,45.6
1036222,SJ-74,46.9
1034156,LC-33,70.6
1032341,NG-41,30.1
1034417,ED-82,86.7
1032789,RE-16,53.4
1034307,GL-72,74.6
1036627,TO-56,35.1
1032369,FT-46,78.8
1033409,TH-14,90.1
1035491,IC-30,77.4
1032184,TE-58,41.0
1033770,YS-73,94.4
1035149,ED-03,83.9
1035797,AN-85,64.9
1035962,ME-87,63.1
1032373,SM-22,76.4
1032434,TH-85,32.4
1033634,LS-11,62.0
1036206,AT-96,40.0
1032431,TL-46,97.1
1032662,EM-30,98.7
1034121,WS-13,34.1
1033794,MP-96,58.0
1036737,TE-31,50.6
1036088,NG-92,72.3
1034020,ND-90,41.9
1033278,NG-81,74.0
1034169,YS-84,46.0
1034725,WS-96,68.1
1035226,NA-14,36.7
1036871,EA-12,98.8
1033175,NA-19,79.7
1035206,SP-67,43.9
1036107,LI-94,54.9
1035308,IM-37,96.6
1035593,TE-47,69.7
1035760,TS-06,41.9
1036291,SM-51,92.9
1034369,LC-78,60.1
1035275,YS-69,94.8
1034207,FT-49,74.0
1036001,ND-48,78.0
1033520,RE-16,51.0
1033275,RE-96,76.1
1032601,TS-76,57.7
1033240,NG-92,34.1
1034266,SJ-45,51.7
1036834,TO-13,58.0
1033707,EM-82,57.4
1035130,SJ-42,69.8
1032028,GT-27,68.3
1035729,LC-89,93.2
1033657,EM-43,66.6
1032236,LC-55,58.6
1035672,NA-19,54.6
1033154,MP-41,35.9
1034449,FT-09,53.0
1033938,MA-16,80.4
1035991,CH-23,34.5
1032389,LC-40,58.3
1034776,TH-46,69.1
1033388,IM-68,71.9
1032109,AU-16,83.3
1032603,CL-47,50.1
1035412,GT-23,59.7
1035260,OL-59,68.3
1034116,RM-41,61.1
1033702,OL-05,89.2
1034085,GT-87,69.4
1035566,LC-18,43.3
1034745,NA-72,53.7
1034190,ST-22,75.2
1036402,YS-36,99.6
1036567,SM-04,42.8
1034665,ED-12,77.3
1033455,LS-46,62.2
1035451,PO-48,62.2
1035123,SM-07,33.5
1036838,SS-10,32.2
1034301,FT-06,50.8
1036013,FT-02,99.7
1035364,TE-57,84.9
1035750,MT-10,33.0
1033004,LC-19,53.9
1035800,TO-95,72.0
1034556,SJ-83,67.4
1034646,CL-44,77.9
1034994,MP-48,50.5
1034151,ME-56,76.7
1035907,RE-17,69.0
1036829,GL-62,94.6
1036474,CH-18,47.7
1035970,TE-14,37.5
1032420,AT-79,44.8
1033520,IM-41,67.0
1033821,NG-92,50.4
1034700,CH-47,71.5
1035172,SJ-43,93.0
1032199,AN-70,65.9
1033731,MT-31,42.3
1034889,RS-38,32.2
1036437,FT-83,96.3
1035410,TH-25,85.8
1035704,LI-00,51.2
1036253,ED-63,51.4
1035526,RE-16,88.5
1032173,TO-31,80.9
1036441,TE-93,58.0
1032386,ND-83,52.9
1033559,AN-46,88.0
1034231,MP-28,34.5
1033171,OL-22,70.4
1033301,TE-16,77.6
1032577,TS-61,72.2
1036566,TE-71,76.9
1033552,GL-57,50.6
1032972,YS-52,96.3
1033428,SJ-75,93.7
1033274,CL-12,70.7
1036887,IM-45,65.0
1033662,LS-08,97.6
1032893,TH-64,79.0
1035048,RS-14,73.3
1035681,DE-03,34.8
1036157,TE-06,71.2
1032929,ED-00,81.0
1033850,TE-56,65.7
1032928,PO-44,42.8
1034901,NG-02,42.0
1035039,CH-19,92.5
1034992,SM-63,88.8
1032457,CH-11,91.8
1032660,EM-80,44.5
1036708,TH-57,82.2
1035895,IC-30,62.4
1032631,MP-22,54.4
1032303,SP-94,41.6
1036320,AU-87,48.7
1033648,EM-84,47.2
1035384,SJ-58,42.1
1033291,NA-33,79.1
1035095,NG-23,95.2
1034267,EC-90,79.7
1034265,MD-21,77.8
1036201,LI-83,73.8
1034993,TS-86,93.0
1034374,GL-00,70.3
1033891,AU-94,55.8
1035936,GL-27,32.5
1034234,RE-12,59.8
1035228,LI-03,89.5
1036667,TE-14,64.8
1035913,NA-33,46.5
1033283,RE-36,69.7
1035991,ED-51,52.7
1034241,RA-40,53.3
1033445,PO-48,77.5
1033795,NG-84,65.1
1033675,CH-23,47.1
1035706,LS-62,33.8
1032073,PA-14,34.3
1035606,CL-28,99.8
1034724,GT-11,40.1
1035143,LC-92,65.6
1033512,TH-32,64.2
1032559,LS-62,49.1
1033777,LC-81,67.5
1032395,WS-19,58.6
1034105,TR-09,48.7
1035071,ME-56,43.7
1033878,SM-53,73.8
1032368,LC-33,66.5
1032500,SM-19,41.4
1035459,PN-26,60.6
1035872,RE-03,54.1
1036145,IC-27,34.4
1034711,VL-62,35.4
1032861,NG-22,43.0
1036926,ED-30,89.4
1032462,AU-09,51.6
1037004,YS-69,58.4
1032456,TE-16,99.5
1032750,RE-16,35.9
1034506,WS-20,84.0
1033982,MT-81,92.7
1036812,DE-33,80.3
1035555,RM-35,83.0
1034253,GT-79,92.6
1036522,EM-45,99.6
1033313,YS-48,76.2
1034464,DE-65,57.5
1033712,YS-13,61.2
1036127,RA-43,77.8
1032705,GL-27,51.9
1035413,RS-22,99.1
1034205,SP-61,99.0
1036062,IM-34,40.0
1032314,SJ-89,90.1
1032948,NG-66,35.9
1036404,SJ-73,45.5
1036957,TS-16,66.0
1036253,SJ-60,89.3
1034732,ME-13,80.8
1035952,MP-02,54.9
1035990,YS-20,91.8
1035173,OL-52,33.2
1033027,FT-22,53.8
1036502,PN-73,81.4
1036009,TH-89,82.5
1035516,TH-18,65.9
1035216,TE-14,86.8
1032593,OL-41,57.7
1034400,ED-77,75.3
1033977,NG-75,72.0
1033600,ED-69,62.6
1036624,ED-27,89.8
1036447,GT-10,69.5
1032934,VL-49,31.6
1035063,NA-46,68.8
1032503,TE-89,54.0
1036498,OL-11,78.7
1036844,LS-08,77.0
1033452,GT-69,45.8
1036302,CH-79,45.7
1034121,YS-48,81.9
1035033,SP-70,38.7
1032638,RE-06,32.8
1033108,WS-10,69.4
1033354,IM-90,47.5
1035435,TH-36,97.9
1032783,CH-11,51.9
1032931,RE-94,56.7
1034654,WS-31,74.7
1034246,MP-22,38.4
1035025,ME-90,71.0
1032633,SM-21,75.1
1032522,LS-78,71.3
1035784,BH-28,73.6
1033881,ND-12,70.7
1036678,LS-11,68.9
1034305,RS-50,69.7
1035773,ED-27,60.6
1036771,WS-33,98.0
1035277,BH-28,66.3
1036436,SJ-50,44.8
1035001,CL-08,90.9
1033211,PO-95,60.3
1034307,MA-86,75.6
1032976,OM-31,76.2
1035164,GT-22,89.0
1034902,NG-22,30.0
1032978,TE-79,90.1
1036576,TH-96,36.9
1034878,LS-87,45.1
1034909,TH-45,30.5
1032150,MT-28,73.9
1034791,GT-86,86.1
1036827,CH-59,80.4
1033793,LS-24,85.5
1036723,TO-28,73.0
1032049,DE-93,96.2
1035871,EM-40,42.4
1032723,TE-07,86.5
1032968,RE-60,64.3
1034750,PN-35,68.7
1035655,LC-07,99.4
1034934,SJ-69,58.3
1035645,DE-15,63.3
1034440,IM-05,62.9
1034191,DE-88,98.3
1034698,GL-70,33.6
1035827,MT-05,79.8
1035027,CH-88,68.3
1036403,CH-05,75.3
1035930,TE-22,89.4
1036454,NA-33,88.3
1033788,WS-22,64.6
1033827,LU-80,99.3
1033545,TE-57,38.5
1033153,GT-36,67.0
1034161,RE-60,59.5
1036452,TS-85,53.6
1034542,LS-78,94.8
1034516,RS-06,84.7
1036066,TS-12,40.5
1035545,ND-26,37.8
1033901,DE-14,95.3
1034481,TH-23,46.0
1034325,ME-07,74.0
1036253,ME-78,53.1
1034224,LC-60,73.3
1034573,ME-46,62.9
1035734,SM-01,71.1
1033454,CL-08,92.3
1032065,EC-40,67.7
1033569,OL-30,94.0
1034319,LC-52,78.2
1033355,TS-19,85.2
1032542,PO-81,96.9
1034585,TS-67,93.2
1036950,CH-76,92.6
1036057,ED-63,70.9
1032380,TS-06,75.0
1034926,FT-32,35.9
1034355,CH-60,44.1
1033529,TO-24,54.7
1033474,RE-36,90.7
1034767,LS-62,88.9
1035604,GL-57,93.8
1034204,IM-16,71.4
1034659,SJ-71,99.6
1034351,CH-88,93.3
1036697,TO-28,98.1
1034590,TH-45,79.0
1034935,ED-10,57.7
1032975,IM-05,93.7
1033116,TO-86,83.6
1032415,SJ-64,88.3
1035581,TH-45,94.6
1032286,ED-62,88.2
1032973,GT-66,53.2
1033405,ND-20,56.9
1035744,TH-85,45.0
1035912,YS-01,79.8
1036645,NG-22,76.9
1035080,ED-90,72.3
1036888,MP-40,58.8
1033621,IM-50,65.1
1035475,MP-55,47.9
1035641,TL-10,40.8
1033296,ED-18,91.9
1034314,EC-18,57.3
1032750,DE-39,53.7
1035060,EC-81,52.7
1035715,EM-40,95.2
1035289,IM-47,88.5
1033925,FT-04,72.3
1032954,ND-31,86.6
1034211,GL-16,94.0
1036000,CH-00,75.0
1034949,EC-36,33.0
1034096,EC-90,31.0
1032310,NG-64,56.7
1035045,OL-58,92.1
1034496,MD-79,93.2
1034262,TO-17,70.8
1033454,CH-79,88.9
1034372,MT-10,80.5
1034257,RE-95,47.5
1036888,TO-26,62.3
1034229,CL-08,56.1
1032291,RA-34,31.3
1032174,TS-83,67.1
1035828,ED-80,64.2
1032896,ED-31,66.1
1034020,OM-01,44.8
1033231,TE-72,30.9
1034167,ME-84,57.4
1035626,ME-46,59.4
1036638,ME-13,43.9
1032368,OM-37,38.6
1034811,TL-46,52.4
1035942,NG-92,54.1
1035106,EC-34,78.1
1035301,WS-70,36.8
1032679,LS-69,89.5
1036839,PA-14,47.4
1035086,ED-25,79.3
1034439,FT-35,59.2
1033854,TE-41,59.0
1033125,ED-72,61.5
1034208,TE-91,92.8
1036684,RS-56,31.6
1032809,TH-23,86.7
1032295,NG-05,92.6
1032847,TE-50,45.5
1035818,MA-36,51.1
1036535,ED-35,69.4
1035033,MA-39,75.4
1034943,ND-68,61.4
1032258,SJ-09,68.0
1035283,CH-26,54.2
1032269,ED-17,65.8
1036142,ND-72,42.3
1035456,TE-06,69.7
1036793,GT-30,89.5
1034841,TH-88,41.2
1035901,TE-45,77.0
1033024,TS-16,74.8
1036944,NG-28,47.9
1036379,PO-80,90.0
1034153,IM-49,61.7
1032709,NA-32,72.9
1036870,SP-19,82.5
1036110,GT-17,43.7
1033175,YS-03,50.8
1036513,EA-12,47.8
1036817,TE-71,33.2
1032882,LI-03,30.8
1035019,SM-89,86.7
1036892,PO-17,83.0
1035406,ND-39,90.5
1035125,MA-13,84.1
1036415,WS-67,83.1
1032934,LC-24,80.2
1032953,RE-59,95.8
1036924,ME-66,33.9
1036701,NG-69,83.9
1033098,ME-78,87.6
1035616,AU-34,51.7
1033535,NG-17,55.8
1034070,CH-76,75.7
1036220,SM-51,92.6
1032342,MP-41,56.0
1036151,SJ-41,72.4
1033820,EC-35,35.5
1035321,GT-36,59.0
1035379,AT-17,30.9
1032875,CH-07,55.6
1034866,IM-30,80.9
1033340,AC-10,45.7
1034285,BH-22,95.8
1032319,GT-13,41.6
1034342,ED-92,40.6
1033664,TE-60,71.4
1034132,ME-90,65.0
1032588,CH-82,78.0
1032483,OL-47,80.3
1034095,SJ-46,66.8
1034725,ED-33,82.9
1032333,SM-29,62.3
1032087,RE-30,87.1
1035639,NA-72,67.5
1032231,SM-86,87.9
1034233,TR-80,37.2
1033507,EC-07,58.5
1036592,TS-33,99.2
1033473,GT-31,66.7
1034254,SM-44,94.5
1034457,ED-62,62.9
1036501,SP-10,79.4
1035042,CL-47,44.6
1035580,IM-74,59.6
1033777,IM-15,36.9
1032476,EC-52,60.7
1032058,ED-41,84.9
1032141,DE-17,89.7
1034396,LS-87,44.5
1032589,LS-24,32.3
1035121,NG-73,39.9
1034585,IM-71,35.6
1035230,FT-26,81.9
1035172,MA-31,58.9
1036904,FT-84,97.2
1034492,ED-41,30.2
1035502,PO-77,67.5
1034075,LC-61,62.3
1036538,ND-72,66.0
1036940,GL-32,85.0
1036910,ED-13,76.6
1036081,TS-94,39.1
1032566,AU-49,88.1
1035773,EM-83,93.5
1034708,ME-66,57.7
1032913,GL-00,46.6
1033800,YS-61,70.6
1035338,MT-28,46.7
1034950,MP-48,42.9
1034230,PO-75,61.4
1036836,GT-13,43.5
1036225,LS-58,91.8
1035141,ED-73,84.3
1033034,DE-11,74.6
